�,�,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,�_�_�_�,
02/12/2021,11290,6,10,14,15,18,21,26,29,30,35,38,39,40,41,50,61,65,0,
02/12/2021,11289,2,4,9,12,13,17,20,23,28,29,34,38,39,43,47,60,68,2,
01/12/2021,11288,1,12,14,15,19,20,23,26,29,31,32,38,52,55,58,62,67,2,
01/12/2021,11287,4,8,11,12,24,27,30,36,38,43,44,45,51,52,53,57,69,1,
30/11/2021,11286,7,10,14,24,29,36,38,49,50,51,55,56,59,60,62,64,67,1,
30/11/2021,11285,2,5,10,12,21,27,29,30,31,37,39,46,51,57,62,68,70,0,
29/11/2021,11284,7,9,12,13,20,31,32,33,43,47,49,50,52,53,57,58,69,2,
29/11/2021,11283,2,3,12,14,15,20,27,28,30,31,36,37,41,43,47,54,69,0,
28/11/2021,11282,2,5,6,8,14,16,19,22,23,39,43,48,49,53,56,66,67,0,
28/11/2021,11281,4,6,7,13,17,18,21,22,24,31,34,38,41,57,58,67,68,0,
27/11/2021,11280,2,8,13,17,29,33,35,40,43,47,54,56,57,60,62,63,68,0,
26/11/2021,11279,3,8,10,12,24,28,31,34,45,48,49,50,54,61,62,66,69,2,
25/11/2021,11278,2,12,21,26,28,30,34,38,45,47,48,51,54,58,60,62,67,2,
25/11/2021,11277,2,5,13,18,26,27,28,33,35,36,45,47,48,52,54,56,61,0,
24/11/2021,11276,7,9,13,15,16,17,18,25,41,43,45,47,49,53,65,67,69,1,
24/11/2021,11275,6,8,12,13,24,27,31,32,35,40,44,45,51,53,58,62,65,0,
23/11/2021,11274,2,3,6,9,12,18,19,20,21,28,31,34,35,40,50,56,58,2,
23/11/2021,11273,1,11,14,17,21,22,23,26,29,31,34,36,38,48,55,66,69,2,
22/11/2021,11272,5,8,10,11,12,13,15,17,21,22,43,45,55,56,61,65,70,8,
22/11/2021,11271,1,3,4,5,8,12,19,26,28,33,35,52,54,59,61,65,69,2,
21/11/2021,11270,1,7,8,9,11,12,15,22,25,26,27,43,45,58,63,64,70,0,
21/11/2021,11269,6,12,15,19,22,23,27,29,32,34,35,46,48,54,56,57,70,1,
20/11/2021,11268,12,16,19,21,24,31,34,38,41,43,44,45,46,50,53,61,63,2,
19/11/2021,11267,6,9,13,15,20,25,35,40,44,47,49,52,53,55,61,64,66,1,
18/11/2021,11266,1,2,5,6,8,17,20,31,37,40,42,50,53,57,60,67,68,0,
18/11/2021,11265,6,7,19,20,23,29,30,40,46,56,58,59,62,63,66,68,70,1,
17/11/2021,11264,2,5,6,8,13,17,21,25,38,45,46,47,55,59,67,68,70,0,
17/11/2021,11263,8,10,20,21,31,34,42,46,50,52,54,60,61,63,65,66,68,0,
16/11/2021,11262,4,6,12,14,17,20,21,30,34,36,38,43,48,65,66,67,68,1,
16/11/2021,11261,9,13,16,18,34,35,42,44,46,52,53,54,61,62,63,64,69,0,
15/11/2021,11260,2,5,10,17,18,20,25,34,39,44,45,47,48,52,56,58,70,0,
15/11/2021,11259,5,9,12,14,21,27,35,42,43,44,45,55,65,66,67,68,70,0,
14/11/2021,11258,4,5,8,11,12,14,15,18,21,22,32,35,41,43,44,52,53,2,
14/11/2021,11257,11,13,15,20,23,25,26,27,32,35,36,37,42,44,52,66,67,0,
